antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,Region
frozenset({'4 TRADITIONAL SPINNING TOPS'}),frozenset({'SET OF 6 SOLDIER SKITTLES'}),0.087719298,0.122807018,0.070175439,0.8,6.514285714,0.059402893,4.385964912,Australia
frozenset({'MINI PAINT SET VINTAGE '}),frozenset({'RED  HARMONICA IN BOX '}),0.105263158,0.122807018,0.070175439,0.666666667,5.428571429,0.057248384,2.631578947,Australia
frozenset({'RED  HARMONICA IN BOX '}),frozenset({'MINI PAINT SET VINTAGE '}),0.122807018,0.105263158,0.070175439,0.571428571,5.428571429,0.057248384,2.087719298,Australia
frozenset({'SET OF 3 CAKE TINS PANTRY DESIGN '}),frozenset({'MINI PAINT SET VINTAGE '}),0.157894737,0.105263158,0.070175439,0.444444444,4.222222222,0.05355494,1.610526316,Australia
frozenset({'MINI PAINT SET VINTAGE '}),frozenset({'SET OF 3 CAKE TINS PANTRY DESIGN '}),0.105263158,0.157894737,0.070175439,0.666666667,4.222222222,0.05355494,2.526315789,Australia
frozenset({'SET OF 6 SOLDIER SKITTLES'}),frozenset({'RED  HARMONICA IN BOX '}),0.122807018,0.122807018,0.087719298,0.714285714,5.816326531,0.072637735,3.070175439,Australia
frozenset({'RED  HARMONICA IN BOX '}),frozenset({'SET OF 6 SOLDIER SKITTLES'}),0.122807018,0.122807018,0.087719298,0.714285714,5.816326531,0.072637735,3.070175439,Australia
frozenset({'SET OF 3 CAKE TINS PANTRY DESIGN '}),frozenset({'SET OF 6 SPICE TINS PANTRY DESIGN'}),0.157894737,0.105263158,0.070175439,0.444444444,4.222222222,0.05355494,1.610526316,Australia
frozenset({'SET OF 6 SPICE TINS PANTRY DESIGN'}),frozenset({'SET OF 3 CAKE TINS PANTRY DESIGN '}),0.105263158,0.157894737,0.070175439,0.666666667,4.222222222,0.05355494,2.526315789,Australia
frozenset({'SET OF 3 CAKE TINS PANTRY DESIGN '}),frozenset({'PARTY BUNTING'}),0.157894737,0.140350877,0.087719298,0.555555556,3.958333333,0.065558633,1.934210526,Australia
frozenset({'PARTY BUNTING'}),frozenset({'SET OF 3 CAKE TINS PANTRY DESIGN '}),0.140350877,0.157894737,0.087719298,0.625,3.958333333,0.065558633,2.245614035,Australia
frozenset({'SET OF 3 CAKE TINS PANTRY DESIGN '}),frozenset({'36 PENCILS TUBE RED RETROSPOT'}),0.157894737,0.070175439,0.070175439,0.444444444,6.333333333,0.059095106,1.673684211,Australia
frozenset({'36 PENCILS TUBE RED RETROSPOT'}),frozenset({'SET OF 3 CAKE TINS PANTRY DESIGN '}),0.070175439,0.157894737,0.070175439,1,6.333333333,0.059095106,inf,Australia
frozenset({'RED RETROSPOT CAKE STAND'}),frozenset({'SET OF 3 CAKE TINS PANTRY DESIGN '}),0.070175439,0.157894737,0.070175439,1,6.333333333,0.059095106,inf,Australia
frozenset({'SET OF 3 CAKE TINS PANTRY DESIGN '}),frozenset({'RED RETROSPOT CAKE STAND'}),0.157894737,0.070175439,0.070175439,0.444444444,6.333333333,0.059095106,1.673684211,Australia
frozenset({'SET OF 3 CAKE TINS PANTRY DESIGN '}),frozenset({'SET OF 3 REGENCY CAKE TINS'}),0.157894737,0.105263158,0.070175439,0.444444444,4.222222222,0.05355494,1.610526316,Australia
frozenset({'SET OF 3 REGENCY CAKE TINS'}),frozenset({'SET OF 3 CAKE TINS PANTRY DESIGN '}),0.105263158,0.157894737,0.070175439,0.666666667,4.222222222,0.05355494,2.526315789,Australia
frozenset({'LUNCH BAG SPACEBOY DESIGN '}),frozenset({'LUNCH BAG WOODLAND'}),0.140350877,0.105263158,0.070175439,0.5,4.75,0.055401662,1.789473684,Australia
frozenset({'LUNCH BAG WOODLAND'}),frozenset({'LUNCH BAG SPACEBOY DESIGN '}),0.105263158,0.140350877,0.070175439,0.666666667,4.75,0.055401662,2.578947368,Australia
frozenset({'BAKING SET SPACEBOY DESIGN'}),frozenset({'LUNCH BAG SPACEBOY DESIGN '}),0.140350877,0.140350877,0.087719298,0.625,4.453125,0.06802093,2.292397661,Australia
frozenset({'LUNCH BAG SPACEBOY DESIGN '}),frozenset({'BAKING SET SPACEBOY DESIGN'}),0.140350877,0.140350877,0.087719298,0.625,4.453125,0.06802093,2.292397661,Australia
frozenset({'LUNCH BAG SPACEBOY DESIGN '}),frozenset({'DOLLY GIRL LUNCH BOX'}),0.140350877,0.105263158,0.070175439,0.5,4.75,0.055401662,1.789473684,Australia
frozenset({'DOLLY GIRL LUNCH BOX'}),frozenset({'LUNCH BAG SPACEBOY DESIGN '}),0.105263158,0.140350877,0.070175439,0.666666667,4.75,0.055401662,2.578947368,Australia
frozenset({'LUNCH BAG DOLLY GIRL DESIGN'}),frozenset({'LUNCH BAG SPACEBOY DESIGN '}),0.087719298,0.140350877,0.087719298,1,7.125,0.075407818,inf,Australia
frozenset({'LUNCH BAG SPACEBOY DESIGN '}),frozenset({'LUNCH BAG DOLLY GIRL DESIGN'}),0.140350877,0.087719298,0.087719298,0.625,7.125,0.075407818,2.432748538,Australia
frozenset({'ROSES REGENCY TEACUP AND SAUCER '}),frozenset({'LUNCH BAG SPACEBOY DESIGN '}),0.140350877,0.140350877,0.070175439,0.5,3.5625,0.05047707,1.719298246,Australia
frozenset({'LUNCH BAG SPACEBOY DESIGN '}),frozenset({'ROSES REGENCY TEACUP AND SAUCER '}),0.140350877,0.140350877,0.070175439,0.5,3.5625,0.05047707,1.719298246,Australia
frozenset({'SPACEBOY LUNCH BOX '}),frozenset({'LUNCH BAG SPACEBOY DESIGN '}),0.105263158,0.140350877,0.070175439,0.666666667,4.75,0.055401662,2.578947368,Australia
frozenset({'LUNCH BAG SPACEBOY DESIGN '}),frozenset({'SPACEBOY LUNCH BOX '}),0.140350877,0.105263158,0.070175439,0.5,4.75,0.055401662,1.789473684,Australia
frozenset({'BLUE HAPPY BIRTHDAY BUNTING'}),frozenset({'PINK HAPPY BIRTHDAY BUNTING'}),0.087719298,0.122807018,0.087719298,1,8.142857143,0.076946753,inf,Australia
frozenset({'PINK HAPPY BIRTHDAY BUNTING'}),frozenset({'BLUE HAPPY BIRTHDAY BUNTING'}),0.122807018,0.087719298,0.087719298,0.714285714,8.142857143,0.076946753,3.192982456,Australia
frozenset({'JAM MAKING SET WITH JARS'}),frozenset({'HOMEMADE JAM SCENTED CANDLES'}),0.105263158,0.087719298,0.070175439,0.666666667,7.6,0.060941828,2.736842105,Australia
frozenset({'HOMEMADE JAM SCENTED CANDLES'}),frozenset({'JAM MAKING SET WITH JARS'}),0.087719298,0.105263158,0.070175439,0.8,7.6,0.060941828,4.473684211,Australia
frozenset({'HOMEMADE JAM SCENTED CANDLES'}),frozenset({'CIRCUS PARADE LUNCH BOX '}),0.087719298,0.087719298,0.070175439,0.8,9.12,0.062480763,4.561403509,Australia
frozenset({'CIRCUS PARADE LUNCH BOX '}),frozenset({'HOMEMADE JAM SCENTED CANDLES'}),0.087719298,0.087719298,0.070175439,0.8,9.12,0.062480763,4.561403509,Australia
frozenset({'HOMEMADE JAM SCENTED CANDLES'}),frozenset({'DOLLY GIRL LUNCH BOX'}),0.087719298,0.105263158,0.070175439,0.8,7.6,0.060941828,4.473684211,Australia
frozenset({'DOLLY GIRL LUNCH BOX'}),frozenset({'HOMEMADE JAM SCENTED CANDLES'}),0.105263158,0.087719298,0.070175439,0.666666667,7.6,0.060941828,2.736842105,Australia
frozenset({'REGENCY CAKESTAND 3 TIER'}),frozenset({'HOMEMADE JAM SCENTED CANDLES'}),0.105263158,0.087719298,0.070175439,0.666666667,7.6,0.060941828,2.736842105,Australia
frozenset({'HOMEMADE JAM SCENTED CANDLES'}),frozenset({'REGENCY CAKESTAND 3 TIER'}),0.087719298,0.105263158,0.070175439,0.8,7.6,0.060941828,4.473684211,Australia
frozenset({'ROSES REGENCY TEACUP AND SAUCER '}),frozenset({'HOMEMADE JAM SCENTED CANDLES'}),0.140350877,0.087719298,0.070175439,0.5,5.7,0.057863958,1.824561404,Australia
frozenset({'HOMEMADE JAM SCENTED CANDLES'}),frozenset({'ROSES REGENCY TEACUP AND SAUCER '}),0.087719298,0.140350877,0.070175439,0.8,5.7,0.057863958,4.298245614,Australia
frozenset({'SPACEBOY LUNCH BOX '}),frozenset({'HOMEMADE JAM SCENTED CANDLES'}),0.105263158,0.087719298,0.070175439,0.666666667,7.6,0.060941828,2.736842105,Australia
frozenset({'HOMEMADE JAM SCENTED CANDLES'}),frozenset({'SPACEBOY LUNCH BOX '}),0.087719298,0.105263158,0.070175439,0.8,7.6,0.060941828,4.473684211,Australia
frozenset({'PARTY BUNTING'}),frozenset({'PINK HAPPY BIRTHDAY BUNTING'}),0.140350877,0.122807018,0.087719298,0.625,5.089285714,0.070483226,2.339181287,Australia
frozenset({'PINK HAPPY BIRTHDAY BUNTING'}),frozenset({'PARTY BUNTING'}),0.122807018,0.140350877,0.087719298,0.714285714,5.089285714,0.070483226,3.00877193,Australia
frozenset({'PARTY BUNTING'}),frozenset({'HANGING HEART JAR T-LIGHT HOLDER'}),0.140350877,0.122807018,0.070175439,0.5,4.071428571,0.052939366,1.754385965,Australia
frozenset({'HANGING HEART JAR T-LIGHT HOLDER'}),frozenset({'PARTY BUNTING'}),0.122807018,0.140350877,0.070175439,0.571428571,4.071428571,0.052939366,2.005847953,Australia
frozenset({'SPOTTY BUNTING'}),frozenset({'PARTY BUNTING'}),0.122807018,0.140350877,0.070175439,0.571428571,4.071428571,0.052939366,2.005847953,Australia
frozenset({'PARTY BUNTING'}),frozenset({'SPOTTY BUNTING'}),0.140350877,0.122807018,0.070175439,0.5,4.071428571,0.052939366,1.754385965,Australia
frozenset({'BAKING SET SPACEBOY DESIGN'}),frozenset({'LUNCH BAG DOLLY GIRL DESIGN'}),0.140350877,0.087719298,0.070175439,0.5,5.7,0.057863958,1.824561404,Australia
frozenset({'LUNCH BAG DOLLY GIRL DESIGN'}),frozenset({'BAKING SET SPACEBOY DESIGN'}),0.087719298,0.140350877,0.070175439,0.8,5.7,0.057863958,4.298245614,Australia
frozenset({'BAKING SET SPACEBOY DESIGN'}),frozenset({'ROSES REGENCY TEACUP AND SAUCER '}),0.140350877,0.140350877,0.070175439,0.5,3.5625,0.05047707,1.719298246,Australia
frozenset({'ROSES REGENCY TEACUP AND SAUCER '}),frozenset({'BAKING SET SPACEBOY DESIGN'}),0.140350877,0.140350877,0.070175439,0.5,3.5625,0.05047707,1.719298246,Australia
frozenset({'BAKING SET 9 PIECE RETROSPOT '}),frozenset({'BAKING SET SPACEBOY DESIGN'}),0.122807018,0.140350877,0.087719298,0.714285714,5.089285714,0.070483226,3.00877193,Australia
frozenset({'BAKING SET SPACEBOY DESIGN'}),frozenset({'BAKING SET 9 PIECE RETROSPOT '}),0.140350877,0.122807018,0.087719298,0.625,5.089285714,0.070483226,2.339181287,Australia
frozenset({'DOLLY GIRL LUNCH BOX'}),frozenset({'CIRCUS PARADE LUNCH BOX '}),0.105263158,0.087719298,0.087719298,0.833333333,9.5,0.078485688,5.473684211,Australia
frozenset({'CIRCUS PARADE LUNCH BOX '}),frozenset({'DOLLY GIRL LUNCH BOX'}),0.087719298,0.105263158,0.087719298,1,9.5,0.078485688,inf,Australia
frozenset({'REGENCY CAKESTAND 3 TIER'}),frozenset({'CIRCUS PARADE LUNCH BOX '}),0.105263158,0.087719298,0.070175439,0.666666667,7.6,0.060941828,2.736842105,Australia
frozenset({'CIRCUS PARADE LUNCH BOX '}),frozenset({'REGENCY CAKESTAND 3 TIER'}),0.087719298,0.105263158,0.070175439,0.8,7.6,0.060941828,4.473684211,Australia
frozenset({'ROSES REGENCY TEACUP AND SAUCER '}),frozenset({'CIRCUS PARADE LUNCH BOX '}),0.140350877,0.087719298,0.070175439,0.5,5.7,0.057863958,1.824561404,Australia
frozenset({'CIRCUS PARADE LUNCH BOX '}),frozenset({'ROSES REGENCY TEACUP AND SAUCER '}),0.087719298,0.140350877,0.070175439,0.8,5.7,0.057863958,4.298245614,Australia
frozenset({'SPACEBOY LUNCH BOX '}),frozenset({'CIRCUS PARADE LUNCH BOX '}),0.105263158,0.087719298,0.087719298,0.833333333,9.5,0.078485688,5.473684211,Australia
frozenset({'CIRCUS PARADE LUNCH BOX '}),frozenset({'SPACEBOY LUNCH BOX '}),0.087719298,0.105263158,0.087719298,1,9.5,0.078485688,inf,Australia
frozenset({'LUNCH BAG DOLLY GIRL DESIGN'}),frozenset({'DOLLY GIRL LUNCH BOX'}),0.087719298,0.105263158,0.070175439,0.8,7.6,0.060941828,4.473684211,Australia
frozenset({'DOLLY GIRL LUNCH BOX'}),frozenset({'LUNCH BAG DOLLY GIRL DESIGN'}),0.105263158,0.087719298,0.070175439,0.666666667,7.6,0.060941828,2.736842105,Australia
frozenset({'REGENCY CAKESTAND 3 TIER'}),frozenset({'DOLLY GIRL LUNCH BOX'}),0.105263158,0.105263158,0.087719298,0.833333333,7.916666667,0.076638966,5.368421053,Australia
frozenset({'DOLLY GIRL LUNCH BOX'}),frozenset({'REGENCY CAKESTAND 3 TIER'}),0.105263158,0.105263158,0.087719298,0.833333333,7.916666667,0.076638966,5.368421053,Australia
frozenset({'ROSES REGENCY TEACUP AND SAUCER '}),frozenset({'DOLLY GIRL LUNCH BOX'}),0.140350877,0.105263158,0.087719298,0.625,5.9375,0.072945522,2.385964912,Australia
frozenset({'DOLLY GIRL LUNCH BOX'}),frozenset({'ROSES REGENCY TEACUP AND SAUCER '}),0.105263158,0.140350877,0.087719298,0.833333333,5.9375,0.072945522,5.157894737,Australia
frozenset({'DOLLY GIRL LUNCH BOX'}),frozenset({'ROUND SNACK BOXES SET OF4 WOODLAND '}),0.105263158,0.070175439,0.070175439,0.666666667,9.5,0.06278855,2.789473684,Australia
frozenset({'ROUND SNACK BOXES SET OF4 WOODLAND '}),frozenset({'DOLLY GIRL LUNCH BOX'}),0.070175439,0.105263158,0.070175439,1,9.5,0.06278855,inf,Australia
frozenset({'SPACEBOY LUNCH BOX '}),frozenset({'DOLLY GIRL LUNCH BOX'}),0.105263158,0.105263158,0.105263158,1,9.5,0.094182825,inf,Australia
frozenset({'DOLLY GIRL LUNCH BOX'}),frozenset({'SPACEBOY LUNCH BOX '}),0.105263158,0.105263158,0.105263158,1,9.5,0.094182825,inf,Australia
frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),frozenset({'PINK REGENCY TEACUP AND SAUCER'}),0.070175439,0.122807018,0.070175439,1,8.142857143,0.061557402,inf,Australia
frozenset({'PINK REGENCY TEACUP AND SAUCER'}),frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),0.122807018,0.070175439,0.070175439,0.571428571,8.142857143,0.061557402,2.169590643,Australia
frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),frozenset({'ROSES REGENCY TEACUP AND SAUCER '}),0.070175439,0.140350877,0.070175439,1,7.125,0.060326254,inf,Australia
frozenset({'ROSES REGENCY TEACUP AND SAUCER '}),frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),0.140350877,0.070175439,0.070175439,0.5,7.125,0.060326254,1.859649123,Australia
frozenset({'SPACEBOY LUNCH BOX '}),frozenset({'LUNCH BAG DOLLY GIRL DESIGN'}),0.105263158,0.087719298,0.070175439,0.666666667,7.6,0.060941828,2.736842105,Australia
frozenset({'LUNCH BAG DOLLY GIRL DESIGN'}),frozenset({'SPACEBOY LUNCH BOX '}),0.087719298,0.105263158,0.070175439,0.8,7.6,0.060941828,4.473684211,Australia
frozenset({'PINK REGENCY TEACUP AND SAUCER'}),frozenset({'ROSES REGENCY TEACUP AND SAUCER '}),0.122807018,0.140350877,0.087719298,0.714285714,5.089285714,0.070483226,3.00877193,Australia
frozenset({'ROSES REGENCY TEACUP AND SAUCER '}),frozenset({'PINK REGENCY TEACUP AND SAUCER'}),0.140350877,0.122807018,0.087719298,0.625,5.089285714,0.070483226,2.339181287,Australia
frozenset({'REGENCY CAKESTAND 3 TIER'}),frozenset({'ROSES REGENCY TEACUP AND SAUCER '}),0.105263158,0.140350877,0.087719298,0.833333333,5.9375,0.072945522,5.157894737,Australia
frozenset({'ROSES REGENCY TEACUP AND SAUCER '}),frozenset({'REGENCY CAKESTAND 3 TIER'}),0.140350877,0.105263158,0.087719298,0.625,5.9375,0.072945522,2.385964912,Australia
frozenset({'REGENCY CAKESTAND 3 TIER'}),frozenset({'SPACEBOY BIRTHDAY CARD'}),0.105263158,0.070175439,0.070175439,0.666666667,9.5,0.06278855,2.789473684,Australia
frozenset({'SPACEBOY BIRTHDAY CARD'}),frozenset({'REGENCY CAKESTAND 3 TIER'}),0.070175439,0.105263158,0.070175439,1,9.5,0.06278855,inf,Australia
frozenset({'SPACEBOY LUNCH BOX '}),frozenset({'REGENCY CAKESTAND 3 TIER'}),0.105263158,0.105263158,0.087719298,0.833333333,7.916666667,0.076638966,5.368421053,Australia
frozenset({'REGENCY CAKESTAND 3 TIER'}),frozenset({'SPACEBOY LUNCH BOX '}),0.105263158,0.105263158,0.087719298,0.833333333,7.916666667,0.076638966,5.368421053,Australia
frozenset({'SPACEBOY LUNCH BOX '}),frozenset({'ROSES REGENCY TEACUP AND SAUCER '}),0.105263158,0.140350877,0.087719298,0.833333333,5.9375,0.072945522,5.157894737,Australia
frozenset({'ROSES REGENCY TEACUP AND SAUCER '}),frozenset({'SPACEBOY LUNCH BOX '}),0.140350877,0.105263158,0.087719298,0.625,5.9375,0.072945522,2.385964912,Australia
frozenset({'SPACEBOY LUNCH BOX '}),frozenset({'ROUND SNACK BOXES SET OF4 WOODLAND '}),0.105263158,0.070175439,0.070175439,0.666666667,9.5,0.06278855,2.789473684,Australia
frozenset({'ROUND SNACK BOXES SET OF4 WOODLAND '}),frozenset({'SPACEBOY LUNCH BOX '}),0.070175439,0.105263158,0.070175439,1,9.5,0.06278855,inf,Australia
frozenset({'SET OF 4 PANTRY JELLY MOULDS'}),frozenset({'FELTCRAFT DOLL MOLLY'}),0.070175439,0.070175439,0.070175439,1,14.25,0.065250846,inf,Australia
frozenset({'FELTCRAFT DOLL MOLLY'}),frozenset({'SET OF 4 PANTRY JELLY MOULDS'}),0.070175439,0.070175439,0.070175439,1,14.25,0.065250846,inf,Australia
frozenset({'BAKING SET 9 PIECE RETROSPOT '}),frozenset({'REGENCY SUGAR BOWL GREEN'}),0.122807018,0.070175439,0.070175439,0.571428571,8.142857143,0.061557402,2.169590643,Australia
frozenset({'REGENCY SUGAR BOWL GREEN'}),frozenset({'BAKING SET 9 PIECE RETROSPOT '}),0.070175439,0.122807018,0.070175439,1,8.142857143,0.061557402,inf,Australia
frozenset({'LUNCH BAG APPLE DESIGN'}),frozenset({'SET OF 10 LED DOLLY LIGHTS'}),0.105263158,0.087719298,0.070175439,0.666666667,7.6,0.060941828,2.736842105,Australia
frozenset({'SET OF 10 LED DOLLY LIGHTS'}),frozenset({'LUNCH BAG APPLE DESIGN'}),0.087719298,0.105263158,0.070175439,0.8,7.6,0.060941828,4.473684211,Australia
frozenset({'RED RETROSPOT CAKE STAND'}),frozenset({'36 PENCILS TUBE RED RETROSPOT'}),0.070175439,0.070175439,0.070175439,1,14.25,0.065250846,inf,Australia
frozenset({'36 PENCILS TUBE RED RETROSPOT'}),frozenset({'RED RETROSPOT CAKE STAND'}),0.070175439,0.070175439,0.070175439,1,14.25,0.065250846,inf,Australia
frozenset({'SET OF 12 MINI LOAF BAKING CASES'}),frozenset({'SET OF 12 FAIRY CAKE BAKING CASES'}),0.070175439,0.070175439,0.070175439,1,14.25,0.065250846,inf,Australia
frozenset({'SET OF 12 FAIRY CAKE BAKING CASES'}),frozenset({'SET OF 12 MINI LOAF BAKING CASES'}),0.070175439,0.070175439,0.070175439,1,14.25,0.065250846,inf,Australia
frozenset({'SET OF 6 SNACK LOAF BAKING CASES'}),frozenset({'SET OF 12 FAIRY CAKE BAKING CASES'}),0.070175439,0.070175439,0.070175439,1,14.25,0.065250846,inf,Australia
frozenset({'SET OF 12 FAIRY CAKE BAKING CASES'}),frozenset({'SET OF 6 SNACK LOAF BAKING CASES'}),0.070175439,0.070175439,0.070175439,1,14.25,0.065250846,inf,Australia
frozenset({'SET OF 6 TEA TIME BAKING CASES'}),frozenset({'SET OF 12 FAIRY CAKE BAKING CASES'}),0.070175439,0.070175439,0.070175439,1,14.25,0.065250846,inf,Australia
frozenset({'SET OF 12 FAIRY CAKE BAKING CASES'}),frozenset({'SET OF 6 TEA TIME BAKING CASES'}),0.070175439,0.070175439,0.070175439,1,14.25,0.065250846,inf,Australia
frozenset({'SET OF 6 SNACK LOAF BAKING CASES'}),frozenset({'SET OF 12 MINI LOAF BAKING CASES'}),0.070175439,0.070175439,0.070175439,1,14.25,0.065250846,inf,Australia
frozenset({'SET OF 12 MINI LOAF BAKING CASES'}),frozenset({'SET OF 6 SNACK LOAF BAKING CASES'}),0.070175439,0.070175439,0.070175439,1,14.25,0.065250846,inf,Australia
frozenset({'SET OF 6 TEA TIME BAKING CASES'}),frozenset({'SET OF 12 MINI LOAF BAKING CASES'}),0.070175439,0.070175439,0.070175439,1,14.25,0.065250846,inf,Australia
frozenset({'SET OF 12 MINI LOAF BAKING CASES'}),frozenset({'SET OF 6 TEA TIME BAKING CASES'}),0.070175439,0.070175439,0.070175439,1,14.25,0.065250846,inf,Australia
frozenset({'SET OF 6 SNACK LOAF BAKING CASES'}),frozenset({'SET OF 6 TEA TIME BAKING CASES'}),0.070175439,0.070175439,0.070175439,1,14.25,0.065250846,inf,Australia
frozenset({'SET OF 6 TEA TIME BAKING CASES'}),frozenset({'SET OF 6 SNACK LOAF BAKING CASES'}),0.070175439,0.070175439,0.070175439,1,14.25,0.065250846,inf,Australia
"frozenset({'ALARM CLOCK BAKELIKE RED ', 'RED DINER WALL CLOCK'})",frozenset({'ALARM CLOCK BAKELIKE GREEN'}),0.070175439,0.105263158,0.070175439,1,9.5,0.06278855,inf,Australia
"frozenset({'ALARM CLOCK BAKELIKE GREEN', 'RED DINER WALL CLOCK'})",frozenset({'ALARM CLOCK BAKELIKE RED '}),0.070175439,0.105263158,0.070175439,1,9.5,0.06278855,inf,Australia
"frozenset({'ALARM CLOCK BAKELIKE RED ', 'ALARM CLOCK BAKELIKE GREEN'})",frozenset({'RED DINER WALL CLOCK'}),0.105263158,0.070175439,0.070175439,0.666666667,9.5,0.06278855,2.789473684,Australia
frozenset({'RED DINER WALL CLOCK'}),"frozenset({'ALARM CLOCK BAKELIKE RED ', 'ALARM CLOCK BAKELIKE GREEN'})",0.070175439,0.105263158,0.070175439,1,9.5,0.06278855,inf,Australia
frozenset({'ALARM CLOCK BAKELIKE RED '}),"frozenset({'ALARM CLOCK BAKELIKE GREEN', 'RED DINER WALL CLOCK'})",0.105263158,0.070175439,0.070175439,0.666666667,9.5,0.06278855,2.789473684,Australia
frozenset({'ALARM CLOCK BAKELIKE GREEN'}),"frozenset({'ALARM CLOCK BAKELIKE RED ', 'RED DINER WALL CLOCK'})",0.105263158,0.070175439,0.070175439,0.666666667,9.5,0.06278855,2.789473684,Australia
"frozenset({'RED RETROSPOT CAKE STAND', 'SET OF 3 CAKE TINS PANTRY DESIGN '})",frozenset({'36 PENCILS TUBE RED RETROSPOT'}),0.070175439,0.070175439,0.070175439,1,14.25,0.065250846,inf,Australia
"frozenset({'RED RETROSPOT CAKE STAND', '36 PENCILS TUBE RED RETROSPOT'})",frozenset({'SET OF 3 CAKE TINS PANTRY DESIGN '}),0.070175439,0.157894737,0.070175439,1,6.333333333,0.059095106,inf,Australia
"frozenset({'SET OF 3 CAKE TINS PANTRY DESIGN ', '36 PENCILS TUBE RED RETROSPOT'})",frozenset({'RED RETROSPOT CAKE STAND'}),0.070175439,0.070175439,0.070175439,1,14.25,0.065250846,inf,Australia
frozenset({'RED RETROSPOT CAKE STAND'}),"frozenset({'SET OF 3 CAKE TINS PANTRY DESIGN ', '36 PENCILS TUBE RED RETROSPOT'})",0.070175439,0.070175439,0.070175439,1,14.25,0.065250846,inf,Australia
frozenset({'SET OF 3 CAKE TINS PANTRY DESIGN '}),"frozenset({'RED RETROSPOT CAKE STAND', '36 PENCILS TUBE RED RETROSPOT'})",0.157894737,0.070175439,0.070175439,0.444444444,6.333333333,0.059095106,1.673684211,Australia
frozenset({'36 PENCILS TUBE RED RETROSPOT'}),"frozenset({'RED RETROSPOT CAKE STAND', 'SET OF 3 CAKE TINS PANTRY DESIGN '})",0.070175439,0.070175439,0.070175439,1,14.25,0.065250846,inf,Australia
"frozenset({'BAKING SET SPACEBOY DESIGN', 'LUNCH BAG DOLLY GIRL DESIGN'})",frozenset({'LUNCH BAG SPACEBOY DESIGN '}),0.070175439,0.140350877,0.070175439,1,7.125,0.060326254,inf,Australia
"frozenset({'BAKING SET SPACEBOY DESIGN', 'LUNCH BAG SPACEBOY DESIGN '})",frozenset({'LUNCH BAG DOLLY GIRL DESIGN'}),0.087719298,0.087719298,0.070175439,0.8,9.12,0.062480763,4.561403509,Australia
"frozenset({'LUNCH BAG DOLLY GIRL DESIGN', 'LUNCH BAG SPACEBOY DESIGN '})",frozenset({'BAKING SET SPACEBOY DESIGN'}),0.087719298,0.140350877,0.070175439,0.8,5.7,0.057863958,4.298245614,Australia
frozenset({'BAKING SET SPACEBOY DESIGN'}),"frozenset({'LUNCH BAG DOLLY GIRL DESIGN', 'LUNCH BAG SPACEBOY DESIGN '})",0.140350877,0.087719298,0.070175439,0.5,5.7,0.057863958,1.824561404,Australia
